record_id,fault_type,Va_rms,Vb_rms,Vc_rms,Ia_rms,Ib_rms,Ic_rms,frequency_hz,voltage_unbalance_pct,current_unbalance_pct,zero_seq_voltage,zero_seq_current,fault_resistance_ohm,fault_location_pct,duration_ms
FR-00061,LG,46.48,230.39,230.15,721.33,100.45,99.92,49.723,72.5,134.78,169.01,307.23,1.96,88.3,128.2
FR-00295,LLL,42.61,24.95,36.02,1077.92,872.08,842.14,50.352,27.73,15.82,34.53,930.71,9.45,48.9,44.6
FR-00352,LLLG,34.36,45.17,16.74,1309.29,707.1,789.8,49.339,47.84,39.97,32.09,935.4,10.0,34.7,149.5
FR-00297,LLL,58.17,37.34,32.24,727.18,797.4,737.86,50.673,36.61,5.74,42.58,754.14,14.43,51.4,114.6
FR-00327,LLLG,36.59,25.52,23.02,803.06,1083.35,843.7,50.175,28.93,19.05,28.38,910.04,11.2,60.3,88.9
FR-00074,LG,232.05,59.13,229.62,100.44,390.29,99.34,49.41,65.94,98.43,173.6,196.69,6.95,40.3,174.3
FR-00133,LL,231.15,95.75,72.63,100.09,553.61,512.54,50.056,73.57,74.25,133.18,388.75,6.6,21.8,25.6
FR-00100,LG,96.94,231.93,231.7,559.65,100.83,100.36,49.653,48.12,120.67,186.86,253.61,10.37,26.8,132.7
FR-00223,LLG,229.99,52.41,70.04,100.33,529.97,776.2,50.336,95.77,78.6,117.48,468.83,2.63,43.7,40.8
FR-00149,LL,129.48,231.02,100.68,253.33,99.97,346.25,50.459,50.28,57.13,153.73,233.19,12.5,41.0,47.2
FR-00171,LL,146.27,230.13,117.21,489.2,100.34,255.05,50.066,39.87,73.77,164.53,281.53,1.29,6.9,30.0
FR-00177,LL,122.32,142.78,230.14,520.22,445.82,100.45,50.035,39.41,71.74,165.08,355.5,4.87,24.2,33.0
FR-00058,NONE,229.68,229.75,230.0,99.78,100.09,100.17,50.003,0.08,0.24,229.81,100.01,,,0.0
FR-00015,NONE,230.1,230.0,230.17,99.88,99.81,100.26,50.01,0.04,0.27,230.09,99.98,,,0.0
FR-00323,LLLG,32.88,43.76,25.09,1237.01,1244.45,1232.76,50.633,29.04,0.52,33.91,1238.07,9.87,34.3,154.4
